algorithm,function,ert_m8,ert_m5,ert_m3,log10ert_area,error_avg,errorbounded_avg
CMA-ES-pycma,f17d10,3002.88,1938.9066666666665,816.2066666666667,0.10479074497332838,3.573333333333333e-09,0.0
CMA-ES-pycma,f18d10,4042.686666666667,2958.66,2265.4933333333333,0.08771042978741615,3.173333333333333e-09,0.0
CMA-ES-pycma,f19d10,72202.26666666666,70818.86666666667,69711.32666666668,0.01778427834839484,2.1806666666666668e-10,0.0
CMA-ES-pycma,f20d10,54228.7,52586.4,51398.86,0.13604424233279155,1.1226666666666668e-10,0.0
CMA-ES-pycma,f21d10,68200.20714285715,67828.23571428572,67552.08571428571,0.06117934465630225,0.03466666750626533,0.034666666666666665
CMA-ES-pycma,f22d10,1193644.24,1193606.4,1193581.8,0.07076928663206074,0.46000000159333326,0.4599999999999999
CMA-ES-pycma,f23d10,389464.7444444444,388294.55555555556,387458.84444444446,0.10309907983652936,0.019260001333333335,0.01926
CMA-ES-pycma,f24d10,,,,0.2529603351528207,5.244,5.244
DD-CMA-ES-Akimoto,f1d10,129.50666666666666,90.22,63.69333333333333,0.048961851273660185,7.379999999999999e-09,0.0
DD-CMA-ES-Akimoto,f2d10,230.33333333333334,187.45333333333332,158.04000000000002,0.06492740927258811,8.313333333333334e-09,0.0
DD-CMA-ES-Akimoto,f3d10,652455.3,652143.1375,651949.925,0.1066048044754076,0.44000000358666663,0.44
DD-CMA-ES-Akimoto,f4d10,,,,0.452042484371329,4.813333333333333,4.813333333333333
DD-CMA-ES-Akimoto,f5d10,13.606666666666666,,,0.028096248075975376,0.0,0.0
DD-CMA-ES-Akimoto,f6d10,443.88,321.2866666666667,236.2,0.08307439151636169,8.206666666666668e-09,0.0
DD-CMA-ES-Akimoto,f7d10,447.1333333333333,,,0.08203052366926664,4.411333333333333e-09,0.0
DD-CMA-ES-Akimoto,f8d10,610.92,563.62,527.24,0.06082782895171024,7.66e-09,0.0
DD-CMA-ES-Akimoto,f9d10,634.86,586.1066666666667,551.2933333333333,0.021391988032479683,8.31333333333333e-09,0.0
DD-CMA-ES-Akimoto,f10d10,429.3,382.0266666666667,353.4266666666667,0.06326417723821114,7.953333333333333e-09,0.0
DD-CMA-ES-Akimoto,f11d10,336.74,289.53333333333336,256.6733333333333,0.09200794274104165,7.46e-09,0.0
DD-CMA-ES-Akimoto,f12d10,1035.5333333333333,834.7066666666667,624.6800000000001,0.08745123349686224,9.08e-09,0.0
DD-CMA-ES-Akimoto,f13d10,857.7533333333333,494.3933333333333,362.36,0.06664079587385911,8.753333333333335e-09,0.0
DD-CMA-ES-Akimoto,f14d10,395.18666666666667,220.7866666666667,109.68666666666665,0.08132035245010305,9.313333333333333e-09,0.0
DD-CMA-ES-Akimoto,f15d10,6539.8,6240.6866666666665,6038.773333333333,0.059499135999120524,6.639999999999999e-09,0.0
DD-CMA-ES-Akimoto,f16d10,4742.24,4517.573333333333,3766.56,0.0641442163401129,6.540000000000001e-09,0.0
DD-CMA-ES-Akimoto,f17d10,2731.266666666667,1964.0466666666666,1453.46,0.09363487846403482,7.833333333333334e-09,0.0
DD-CMA-ES-Akimoto,f18d10,3947.0333333333338,3312.6066666666666,2421.4,0.08679114774317531,8.399999999999999e-09,0.0
DD-CMA-ES-Akimoto,f19d10,70341.88666666667,68899.94,67962.62666666668,0.017527075100926905,7.119999999999999e-09,0.0
DD-CMA-ES-Akimoto,f20d10,20814.613333333335,20170.893333333333,19750.513333333332,0.12197034374391769,5.546666666666666e-09,0.0
DD-CMA-ES-Akimoto,f21d10,28851.73333333333,28674.146666666667,28554.859999999997,0.055263272503449194,4.153333333333333e-09,0.0
DD-CMA-ES-Akimoto,f22d10,302227.05454545456,302010.8727272727,301837.17272727273,0.06335577505172829,0.18400000343333334,0.184
DD-CMA-ES-Akimoto,f23d10,297035.475,296430.9083333333,296002.1666666666,0.10040166601902402,0.006833340606666666,0.006833333333333334
DD-CMA-ES-Akimoto,f24d10,1080761.3166666667,1078693.4833333334,1077291.3666666667,0.06683471637351845,0.4386666697266667,0.43866666666666665
DD-CMA-ES-pycma,f1d10,124.15333333333334,84.06,57.733333333333334,0.05237721952308643,4.273333333333333e-09,0.0
DD-CMA-ES-pycma,f2d10,225.78000000000003,187.92666666666668,161.24,0.06365083871672465,5.5466666666666665e-09,0.0
DD-CMA-ES-pycma,f3d10,478847.43,478465.04000000004,478216.99000000005,0.1041049325478446,0.38400000028400005,0.38400000000000006
DD-CMA-ES-pycma,f4d10,,,,0.5006005889006966,5.1000000000000005,5.1000000000000005
DD-CMA-ES-pycma,f5d10,14.093333333333334,,,0.027681878564603506,0.0,0.0
DD-CMA-ES-pycma,f6d10,401.8933333333333,284.8,206.16,0.08351617304023974,8.286666666666666e-09,0.0
DD-CMA-ES-pycma,f7d10,396.24666666666667,,,0.08326213231797276,3.612133333333333e-09,0.0
